step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
6850,850.1,56115200,0.00231570,1.7227,1.7078,0.2494
6900,856.5,56524800,0.00230637,1.6521,1.7119,0.2587
6950,862.8,56934400,0.00229699,1.5931,1.7082,0.2495
7000,869.1,57344000,0.00228757,1.7027,1.7036,0.2559
7050,875.4,57753600,0.00227811,1.8103,1.7090,0.2728
7100,881.7,58163200,0.00226861,1.7197,1.7082,0.2746
7150,888.0,58572800,0.00225907,1.6898,1.7044,0.2513
7200,894.3,58982400,0.00224949,1.6700,1.6982,0.2592
7250,900.6,59392000,0.00223988,1.7100,1.6993,0.2621
7300,907.0,59801600,0.00223022,1.7860,1.6983,0.2635
7350,913.7,60211200,0.00222053,1.6298,1.6972,0.2633
7400,920.0,60620800,0.00221081,1.6797,1.6962,0.2644
7450,926.3,61030400,0.00220105,1.5508,1.6967,0.2582
7500,932.6,61440000,0.00219126,1.6522,1.6932,0.2639
7550,938.9,61849600,0.00218143,1.5747,1.6914,0.2578
7600,945.2,62259200,0.00217157,1.7513,1.6861,0.2628
7650,951.5,62668800,0.00216167,1.6852,1.6899,0.2847
7700,957.8,63078400,0.00215174,1.7176,1.6899,0.2549
7750,964.3,63488000,0.00214179,1.6089,1.6937,0.2765
7800,970.6,63897600,0.00213180,1.6387,1.6865,0.2627
7850,977.0,64307200,0.00212178,1.7090,1.6844,0.2677
7900,983.3,64716800,0.00211173,1.7115,1.6855,0.2551
7950,989.7,65126400,0.00210165,1.8344,1.6812,0.2802
8000,996.3,65536000,0.00209154,1.5936,1.6811,0.2575
8050,1003.0,65945600,0.00208141,1.6204,1.6782,0.2683
8100,1009.5,66355200,0.00207125,1.6344,1.6823,0.2618
8150,1016.1,66764800,0.00206106,1.7099,1.6734,0.2643
8200,1022.8,67174400,0.00205084,1.6015,1.6785,0.2625
8250,1029.4,67584000,0.00204060,1.5742,1.6724,0.2826
8300,1035.9,67993600,0.00203034,1.7335,1.6775,0.2703
8350,1042.5,68403200,0.00202005,1.7278,1.6745,0.2764
8400,1048.8,68812800,0.00200974,1.6554,1.6694,0.2684
8450,1055.0,69222400,0.00199941,1.5644,1.6707,0.2465
8500,1061.3,69632000,0.00198905,1.7165,1.6684,0.2806
8550,1067.6,70041600,0.00197867,1.6780,1.6605,0.2824
8600,1073.9,70451200,0.00196827,1.6829,1.6576,0.2793
8650,1080.2,70860800,0.00195786,1.7628,1.6637,0.2807
8700,1086.5,71270400,0.00194742,1.6007,1.6659,0.2803
8750,1092.9,71680000,0.00193696,1.6132,1.6598,0.2724
8800,1099.3,72089600,0.00192649,1.6489,1.6596,0.2839
8850,1105.6,72499200,0.00191600,1.6742,1.6534,0.2735
8900,1111.9,72908800,0.00190549,1.5530,1.6590,0.2625
8950,1118.2,73318400,0.00189496,1.6463,1.6531,0.2654
9000,1124.4,73728000,0.00188443,1.6796,1.6466,0.3077
9050,1130.7,74137600,0.00187387,1.5859,1.6434,0.2698
9100,1137.0,74547200,0.00186330,1.6524,1.6465,0.2956
9150,1143.2,74956800,0.00185272,1.6722,1.6475,0.3049
9200,1149.5,75366400,0.00184213,1.5377,1.6443,0.2708
9250,1155.8,75776000,0.00183152,1.6922,1.6524,0.2929
9300,1162.0,76185600,0.00182090,1.6146,1.6379,0.2800
9350,1168.3,76595200,0.00181027,1.5965,1.6408,0.3012
9400,1174.6,77004800,0.00179963,1.5711,1.6379,0.3068
9450,1180.9,77414400,0.00178898,1.5613,1.6349,0.2676
9500,1187.2,77824000,0.00177833,1.5887,1.6348,0.2883
9550,1193.6,78233600,0.00176766,1.6633,1.6363,0.2910
9600,1199.8,78643200,0.00175699,1.5617,1.6338,0.2719
9650,1206.1,79052800,0.00174631,1.5621,1.6305,0.2752
9700,1212.4,79462400,0.00173562,1.6341,1.6318,0.2892
9750,1218.6,79872000,0.00172493,1.5820,1.6333,0.2999
9800,1224.9,80281600,0.00171424,1.4844,1.6279,0.2757
9850,1231.1,80691200,0.00170354,1.5697,1.6344,0.2819
9900,1237.3,81100800,0.00169283,1.6871,1.6273,0.3007
9950,1243.5,81510400,0.00168213,1.5496,1.6317,0.2891
10000,1249.7,81920000,0.00167142,1.5264,1.6274,0.3039
10050,1256.1,82329600,0.00166071,1.4860,1.6295,0.2901
10100,1262.4,82739200,0.00165000,1.5911,1.6242,0.2871
10150,1268.7,83148800,0.00163929,1.5922,1.6238,0.2938
10200,1274.9,83558400,0.00162858,1.7176,1.6300,0.2979
10250,1281.2,83968000,0.00161787,1.5550,1.6189,0.2853
10300,1287.5,84377600,0.00160717,1.5981,1.6202,0.2988
10350,1293.8,84787200,0.00159646,1.5802,1.6201,0.2969
10400,1300.1,85196800,0.00158576,1.6048,1.6159,0.3047
10450,1306.3,85606400,0.00157507,1.5785,1.6181,0.3052
10500,1312.6,86016000,0.00156438,1.6103,1.6147,0.3002
10550,1318.8,86425600,0.00155369,1.6310,1.6174,0.3268
10600,1325.1,86835200,0.00154301,1.6127,1.6080,0.2995
10650,1331.4,87244800,0.00153234,1.5245,1.6075,0.2923
10700,1337.8,87654400,0.00152167,1.5774,1.6080,0.3135
10750,1344.1,88064000,0.00151102,1.5968,1.6105,0.3235
10800,1350.4,88473600,0.00150037,1.6225,1.6053,0.2912
10850,1356.8,88883200,0.00148973,1.5666,1.6146,0.2988
10900,1363.2,89292800,0.00147910,1.5618,1.6054,0.3089
10950,1369.6,89702400,0.00146848,1.5718,1.6005,0.2964
11000,1375.9,90112000,0.00145787,1.5855,1.6048,0.3026
11050,1382.3,90521600,0.00144728,1.5910,1.6046,0.2951
11100,1388.6,90931200,0.00143670,1.5993,1.5999,0.2973
11150,1395.0,91340800,0.00142613,1.6196,1.5983,0.3113
11200,1401.3,91750400,0.00141557,1.5952,1.6026,0.3052
11250,1407.7,92160000,0.00140504,1.5783,1.5965,0.3065
11300,1414.0,92569600,0.00139451,1.5182,1.5974,0.3042
11350,1420.4,92979200,0.00138400,1.5408,1.5977,0.3035
11400,1426.7,93388800,0.00137351,1.5268,1.5927,0.3062
11450,1433.0,93798400,0.00136304,1.5845,1.5904,0.3070
